,기준_분기_코드,상권_구분_코드_명,상권_코드_명,서비스_업종_코드_명,분기당_매출_금액,분기당_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수,점포수
983,1,골목상권,열정도,한식음식점,2190755700,53099,1627724829,563030871,273656360,330160354,367696920,325000643,331210552,313811187,249219684,121855,7001159,355592866,118854589,1325732771,383452460,1124282445,712031947,8140305,571148615,623310036,311600679,241925922,80188833,42939,10160,8271,9054,9220,8087,8307,5674,4486,3,214,20201,3856,23657,5168,25244,21237,123,11885,12915,9202,9364,2991,50
984,1,골목상권,열정도,양식음식점,22420524,493,19160488,3260036,2675984,2504987,5149882,3617575,5212060,3086819,173217,0,0,6340194,1459022,10135427,4485881,9264900,8007965,0,3797454,4818991,5043286,3000210,612922,417,76,58,75,92,89,103,67,9,0,0,186,40,196,71,209,200,0,97,133,85,75,18,6
985,1,골목상권,열정도,제과점,24080207,2212,14176545,9903662,0,3215541,3788302,3803264,3369438,4809124,5094538,0,0,5520991,5823641,11736318,999257,6246836,15277142,0,10948701,7243091,1633749,1458804,239633,1256,956,0,313,321,305,317,463,493,0,0,446,579,1079,108,604,1492,0,1051,690,176,146,35,3
986,1,골목상권,열정도,분식전문점,30411153,706,19919896,10491257,2997251,3060828,3732539,4171608,5957670,3810356,6680901,0,0,0,0,8386654,22024499,17968740,9658440,768599,10172764,11954288,2815495,1394002,522032,476,230,85,62,95,99,135,100,130,0,0,0,0,235,471,394,264,8,247,292,65,28,18,3
987,1,골목상권,열정도,호프-간이주점,675054213,12460,587511950,87542263,74196758,172358786,123463618,110870347,106622441,87542263,0,0,0,67745251,212395,365780107,241316460,316132705,205589801,0,84028891,251776929,153597201,28673365,3646120,11575,885,2195,2583,2478,2089,2230,885,0,0,0,4885,35,4424,3116,5629,4708,0,2125,4035,3221,814,141,7
988,1,골목상권,열정도,커피-음료,30227413,3391,27416094,2811319,5441911,5743122,6910680,4262876,5057505,2811319,0,0,682749,16629811,5992698,6922155,0,9162603,12977965,0,5410354,8448300,4245665,3167036,869214,3064,327,597,643,706,505,613,327,0,0,69,1773,774,775,0,1045,1716,0,821,1039,465,338,98,3
989,1,골목상권,열정도,슈퍼마켓,158040554,20220,100241167,57799387,18314665,16531426,20960215,18429356,26005505,34463786,23335601,0,8842851,26356376,36257786,65710832,20872709,99209251,54274796,1182189,28144501,53114359,34982141,24850852,11210003,13989,6231,2662,2152,3257,2803,3115,3427,2804,0,1274,2860,3909,9232,2945,13115,6794,257,3626,7496,4485,2676,1369,6
990,1,골목상권,열정도,일반의류,57000000,1122,30493781,26506219,5388348,5008122,5881309,5886195,8329807,14053830,12452389,0,318838,9200779,19657826,25676644,2145913,15915138,41084862,220345,13474817,20188139,11960305,8324748,2831646,649,473,121,100,123,134,171,248,225,0,7,200,381,500,34,257,865,5,282,382,230,159,64,3
991,1,골목상권,열정도,의약품,4102271810,1538,4102271810,0,1384080258,420516863,599705996,278498131,1419470562,0,0,0,1364691210,2213452337,288442519,235685744,0,404632362,93306260,0,54701612,79364434,163474630,107372391,93025553,1538,0,291,289,426,182,350,0,0,0,712,471,210,145,0,378,68,0,6,104,124,73,139,3
992,1,골목상권,열정도,화초,5502399,76,5016893,485506,0,647341,2481474,0,1888078,485506,0,0,1078902,2157803,1078902,1186792,0,647341,3776156,0,1186792,2481474,0,755231,0,54,22,0,11,22,0,21,22,0,0,11,11,33,21,0,11,55,0,22,22,0,22,0,3
993,1,골목상권,삼각지역 3번,한식음식점,193352719,2270,169250141,24102578,35912561,32023169,32836773,34443520,34034118,19519691,4582887,0,0,21605018,3051543,141573085,27123073,87608540,32111280,0,14145233,33660355,38258962,27632543,6022732,1965,305,403,408,396,348,410,208,97,0,0,892,76,1124,178,1078,569,0,302,499,403,352,87,6
994,1,골목상권,삼각지역 3번,치과의원,31410188,173,31410188,0,10476887,10452213,878849,1899448,7702791,0,0,0,4944969,11093762,3963746,11407711,0,11183538,20226650,0,84000,543900,134925,19402927,11244436,173,0,26,69,37,15,26,0,0,0,31,47,57,38,0,105,68,0,5,31,10,90,37,3
995,1,골목상권,삼각지역 3번,한의원,18040465,803,14841304,3199161,4892107,1907799,2027785,4548644,1464969,3199161,0,0,3696734,3929584,9595984,818163,0,7838545,10201920,0,132736,362962,1810683,7946534,7787550,703,100,183,139,163,117,101,100,0,0,97,285,346,75,0,341,462,0,4,18,67,244,470,3
996,1,골목상권,삼각지역 3번,슈퍼마켓,4703148,625,3426521,1276627,62376,998016,1309896,1056233,0,1222568,54059,0,968906,785937,1164352,1497024,286929,1721576,2482564,0,1284945,187128,1393063,790096,548908,459,166,42,167,166,84,0,124,42,0,84,208,125,166,42,291,292,0,209,42,125,83,125,3
997,1,골목상권,삼각지역 3번,문구,806627,32,806627,0,0,806627,0,0,0,0,0,0,0,0,0,806627,0,806627,0,0,0,0,0,806627,0,32,0,0,32,0,0,0,0,0,0,0,0,0,32,0,32,0,0,0,0,0,32,0,1
998,1,골목상권,서울역 12번,한식음식점,3489562368,92027,3264926501,224635867,659446168,754158868,680183160,610072318,561065987,163561018,61074849,0,13358898,1757106477,129954669,1315858287,273284037,1095909110,452085185,138706,173064316,414780500,492746112,326458947,140805713,87213,4814,18498,18992,18607,15706,15410,3333,1481,0,590,65785,3619,18742,3291,37250,20222,15,9249,17511,16354,10407,3937,149
999,1,골목상권,서울역 12번,중식음식점,155115942,9398,138451688,16664254,24514680,32752881,28557733,25276484,27349910,4427971,12236283,0,355729,85327767,14065844,47885069,7481533,68428558,32666665,171430,14540837,24156823,31199239,20719598,10307296,8378,1020,1627,1858,1759,1585,1549,216,804,0,54,5729,1059,2450,106,5301,2677,13,1173,2151,2199,1562,879,12
1000,1,골목상권,서울역 12번,일식음식점,280088742,7911,273622134,6466608,54738374,60917210,55798895,54690862,47476793,6466608,0,232024,1323394,149347257,5066880,83933948,40185239,67873973,40235627,52205,27183745,42402625,25854019,10291656,2325346,7694,217,1382,1739,1668,1447,1458,217,0,6,12,5709,218,1424,542,2964,2120,6,1558,1986,1052,332,149,12
